product_code,fund_id,doc_id,file_name,duplicate_group_id,duplicate_type,canonical_product_code,is_canonical
KR5120451001,FUND000045,DOC000047,R2_KR5120451001.pdf,,UNIQUE,KR5120451001,true
KR5122420005,FUND000012,DOC000012,R2_KR5122420005.pdf,,UNIQUE,KR5122420005,true
KR5123365001,FUND000080,DOC000082,R2_KR5123365001.pdf,,UNIQUE,KR5123365001,true
KR5123420015,FUND000081,DOC000083,R2_KR5123420015.pdf,,UNIQUE,KR5123420015,true
KR5123420039,FUND000082,DOC000084,R2_KR5123420039.pdf,,UNIQUE,KR5123420039,true
KR5123420049,FUND000083,DOC000085,R2_KR5123420049.pdf,,UNIQUE,KR5123420049,true
KR5123490013,FUND000084,DOC000086,R2_KR5123490013.pdf,KIWOOM-001,EXACT_FILE,KR5123490013,true
KR5123490016,FUND000084,DOC000086,R2_KR5123490016.pdf,KIWOOM-001,EXACT_FILE,KR5123490013,false
KR5123490017,FUND000084,DOC000086,R2_KR5123490017.pdf,KIWOOM-001,EXACT_FILE,KR5123490013,false
KR5125450023,FUND000032,DOC000034,R2_KR5125450023.pdf,,UNIQUE,KR5125450023,true
KR5125450070,FUND000033,DOC000035,R2_KR5125450070.pdf,,UNIQUE,KR5125450070,true
KR5127420034,FUND000021,DOC000021,R2_KR5127420034.pdf,KB-001,EXACT_FILE,KR5127420034,true
KR5127420039,FUND000021,DOC000022,R2_KR5127420039.pdf,KB-001,EXACT_FILE,KR5127420034,false
KR5127420045,FUND000022,DOC000023,R2_KR5127420045.pdf,,UNIQUE,KR5127420045,true
KR5127420083,FUND000023,DOC000024,R2_KR5127420083.pdf,,UNIQUE,KR5127420083,true
KR5127450117,FUND000024,DOC000025,R2_KR5127450117.pdf,,UNIQUE,KR5127450117,true
KR5127450215,FUND000025,DOC000026,R2_KR5127450215.pdf,KB-002,EXACT_FILE,KR5127450215,true
KR5127450217,FUND000025,DOC000027,R2_KR5127450217.pdf,KB-002,EXACT_FILE,KR5127450215,false
KR5127450473,FUND000026,DOC000028,R2_KR5127450473.pdf,,UNIQUE,KR5127450473,true
KR5129420025,FUND000036,DOC000038,R2_KR5129420025.pdf,,UNIQUE,KR5129420025,true
KR5129420031,FUND000037,DOC000039,R2_KR5129420031.pdf,,UNIQUE,KR5129420031,true
KR5131420007,FUND000004,DOC000004,R2_KR5131420007.pdf,,UNIQUE,KR5131420007,true
KR5131420025,FUND000005,DOC000005,R2_KR5131420025.pdf,,UNIQUE,KR5131420025,true
KR5139420015,FUND000010,DOC000010,R2_KR5139420015.pdf,,UNIQUE,KR5139420015,true
KR5139420020,FUND000011,DOC000011,R2_KR5139420020.pdf,,UNIQUE,KR5139420020,true
KR5144420020,FUND000027,DOC000029,R2_KR5144420020.pdf,,UNIQUE,KR5144420020,true
KR5144420081,FUND000028,DOC000030,R2_KR5144420081.pdf,,UNIQUE,KR5144420081,true
KR5144420091,FUND000029,DOC000031,R2_KR5144420091.pdf,,UNIQUE,KR5144420091,true
KR5144450095,FUND000030,DOC000032,R2_KR5144450095.pdf,,UNIQUE,KR5144450095,true
KR5147430065,FUND000006,DOC000006,R2_KR5147430065.pdf,,UNIQUE,KR5147430065,true
KR514X450008,FUND000016,DOC000016,R2_KR514X450008.pdf,,UNIQUE,KR514X450008,true
KR5152420028,FUND000031,DOC000033,R2_KR5152420028.pdf,,UNIQUE,KR5152420028,true
KR515302022M,FUND000007,DOC000007,R2_KR515302022M.pdf,,UNIQUE,KR515302022M,true
KR5153420022,FUND000057,DOC000059,R2_KR5153420022.pdf,,UNIQUE,KR5153420022,true
KR5153420063,FUND000058,DOC000060,R2_KR5153420063.pdf,,UNIQUE,KR5153420063,true
KR5153420079,FUND000059,DOC000061,R2_KR5153420079.pdf,,UNIQUE,KR5153420079,true
KR5153420105,FUND000060,DOC000062,R2_KR5153420105.pdf,,UNIQUE,KR5153420105,true
KR5153420318,FUND000061,DOC000063,R2_KR5153420318.pdf,,UNIQUE,KR5153420318,true
KR5153420339,FUND000062,DOC000064,R2_KR5153420339.pdf,,UNIQUE,KR5153420339,true
KR5153450009,FUND000063,DOC000065,R2_KR5153450009.pdf,MIRAE-001,EXACT_FILE,KR5153450009,true
KR5153450112,FUND000064,DOC000066,R2_KR5153450112.pdf,,UNIQUE,KR5153450112,true
KR5153450209,FUND000065,DOC000067,R2_KR5153450209.pdf,,UNIQUE,KR5153450209,true
KR5153450250,FUND000066,DOC000068,R2_KR5153450250.pdf,,UNIQUE,KR5153450250,true
KR5153450268,FUND000067,DOC000069,R2_KR5153450268.pdf,,UNIQUE,KR5153450268,true
KR5153450431,FUND000068,DOC000070,R2_KR5153450431.pdf,,UNIQUE,KR5153450431,true
KR5153450658,FUND000069,DOC000071,R2_KR5153450658.pdf,,UNIQUE,KR5153450658,true
KR5153450772,FUND000070,DOC000072,R2_KR5153450772.pdf,,UNIQUE,KR5153450772,true
KR5153450785,FUND000071,DOC000073,R2_KR5153450785.pdf,,UNIQUE,KR5153450785,true
KR5153450791,FUND000072,DOC000074,R2_KR5153450791.pdf,,UNIQUE,KR5153450791,true
KR5153451009,FUND000073,DOC000075,R2_KR5153451009.pdf,,UNIQUE,KR5153451009,true
KR5153520012,FUND000074,DOC000076,R2_KR5153520012.pdf,,UNIQUE,KR5153520012,true
KR5156450026,FUND000008,DOC000008,R2_KR5156450026.pdf,,UNIQUE,KR5156450026,true
KR5157420003,FUND000001,DOC000001,R2_KR5157420003.pdf,,UNIQUE,KR5157420003,true
KR5157450017,FUND000002,DOC000002,R2_KR5157450017.pdf,,UNIQUE,KR5157450017,true
KR5157450090,FUND000003,DOC000003,R2_KR5157450090.pdf,,UNIQUE,KR5157450090,true
KR5160420009,FUND000020,DOC000020,R2_KR5160420009.pdf,,UNIQUE,KR5160420009,true
KR516702010M,FUND000017,DOC000017,R2_KR516702010M.pdf,,UNIQUE,KR516702010M,true
KR5169950018,FUND000013,DOC000013,R2_KR5169950018.pdf,,UNIQUE,KR5169950018,true
KR5172450019,FUND000014,DOC000014,R2_KR5172450019.pdf,,UNIQUE,KR5172450019,true
KR5174420011,FUND000019,DOC000019,R2_KR5174420011.pdf,,UNIQUE,KR5174420011,true
KR518101002M,FUND000075,DOC000077,R2_KR518101002M.pdf,,UNIQUE,KR518101002M,true
KR518101012M,FUND000092,DOC000094,R2_KR518101012M.pdf,,UNIQUE,KR518101012M,true
KR518102001M,FUND000063,DOC000065,R2_KR518102001M.pdf,MIRAE-001,EXACT_FILE,KR5153450009,false
KR5185450009,FUND000085,DOC000087,R2_KR5185450009.pdf,,UNIQUE,KR5185450009,true
KR5194450018,FUND000015,DOC000015,R2_KR5194450018.pdf,,UNIQUE,KR5194450018,true
KR555202013M,FUND000009,DOC000009,R2_KR555202013M.pdf,,UNIQUE,KR555202013M,true
