fund_id,product_code,source_doc_id,canonical_product_code,duplicate_group_id,is_canonical,mapping_method,mapping_confidence,review_status
FUND000081,KR5123420015,DOC000083,KR5123420015,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000082,KR5123420039,DOC000084,KR5123420039,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000083,KR5123420049,DOC000085,KR5123420049,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000084,KR5123490013,DOC000086,KR5123490013,KIWOOM-001,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000084,KR5123490016,DOC000086,KR5123490013,KIWOOM-001,false,EXACT_DUPLICATE_GROUP,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000084,KR5123490017,DOC000086,KR5123490013,KIWOOM-001,false,EXACT_DUPLICATE_GROUP,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000032,KR5125450023,DOC000034,KR5125450023,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000033,KR5125450070,DOC000035,KR5125450070,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000021,KR5127420034,DOC000021,KR5127420034,KB-001,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000021,KR5127420039,DOC000022,KR5127420034,KB-001,false,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000022,KR5127420045,DOC000023,KR5127420045,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000023,KR5127420083,DOC000024,KR5127420083,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000024,KR5127450117,DOC000025,KR5127450117,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000025,KR5127450215,DOC000026,KR5127450215,KB-002,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000025,KR5127450217,DOC000027,KR5127450215,KB-002,false,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000026,KR5127450473,DOC000028,KR5127450473,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000036,KR5129420025,DOC000038,KR5129420025,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000037,KR5129420031,DOC000039,KR5129420031,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000004,KR5131420007,DOC000004,KR5131420007,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000005,KR5131420025,DOC000005,KR5131420025,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000010,KR5139420015,DOC000010,KR5139420015,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000011,KR5139420020,DOC000011,KR5139420020,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000027,KR5144420020,DOC000029,KR5144420020,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000028,KR5144420081,DOC000030,KR5144420081,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000029,KR5144420091,DOC000031,KR5144420091,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000030,KR5144450095,DOC000032,KR5144450095,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000006,KR5147430065,DOC000006,KR5147430065,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000016,KR514X450008,DOC000016,KR514X450008,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000031,KR5152420028,DOC000033,KR5152420028,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000007,KR515302022M,DOC000007,KR515302022M,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000057,KR5153420022,DOC000059,KR5153420022,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000058,KR5153420063,DOC000060,KR5153420063,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000059,KR5153420079,DOC000061,KR5153420079,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000060,KR5153420105,DOC000062,KR5153420105,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000061,KR5153420318,DOC000063,KR5153420318,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000062,KR5153420339,DOC000064,KR5153420339,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000063,KR5153450009,DOC000065,KR5153450009,MIRAE-001,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000064,KR5153450112,DOC000066,KR5153450112,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000065,KR5153450209,DOC000067,KR5153450209,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000066,KR5153450250,DOC000068,KR5153450250,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000067,KR5153450268,DOC000069,KR5153450268,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000068,KR5153450431,DOC000070,KR5153450431,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000069,KR5153450658,DOC000071,KR5153450658,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000070,KR5153450772,DOC000072,KR5153450772,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000071,KR5153450785,DOC000073,KR5153450785,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000072,KR5153450791,DOC000074,KR5153450791,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000073,KR5153451009,DOC000075,KR5153451009,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000074,KR5153520012,DOC000076,KR5153520012,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000008,KR5156450026,DOC000008,KR5156450026,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000001,KR5157420003,DOC000001,KR5157420003,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000002,KR5157450017,DOC000002,KR5157450017,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000003,KR5157450090,DOC000003,KR5157450090,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000020,KR5160420009,DOC000020,KR5160420009,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000017,KR516702010M,DOC000017,KR516702010M,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000013,KR5169950018,DOC000013,KR5169950018,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000014,KR5172450019,DOC000014,KR5172450019,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000019,KR5174420011,DOC000019,KR5174420011,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000075,KR518101002M,DOC000077,KR518101002M,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000092,KR518101012M,DOC000094,KR518101012M,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000063,KR518102001M,DOC000065,KR5153450009,MIRAE-001,false,EXACT_DUPLICATE_GROUP,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000085,KR5185450009,DOC000087,KR5185450009,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000015,KR5194450018,DOC000015,KR5194450018,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000009,KR555202013M,DOC000009,KR555202013M,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
