fund_id,product_code,asset_category,amount,allocation_pct,total_amount,as_of_date,source_page,method,pct_derived
FUND000076,KR5118201004,기타,14.9,0.04,39773.0,2025-10-26,54,cell_grid,False
FUND000077,KR5118420006,채권,3267.7,23.24,14061.9,2025-10-21,47,cell_grid,False
FUND000077,KR5118420006,어음,9745.0,69.3,14061.9,2025-10-21,47,cell_grid,False
FUND000077,KR5118420006,집합투자증권,642.0,4.57,14061.9,2025-10-21,47,cell_grid,False
FUND000077,KR5118420006,단기대출및예금,407.2,2.9,14061.9,2025-10-21,47,cell_grid,False
FUND000078,KR5118420036,집합투자증권,205.7,99.99,205.7,2025-01-16,56,pdf_text_rows,False
FUND000078,KR5118420036,단기대출및예금,0.0,0.01,205.7,2025-01-16,56,pdf_text_rows,False
FUND000079,KR5118420062,채권,7944.1,24.92,31877.6,2025-09-15,47,pdf_text_rows,False
FUND000079,KR5118420062,어음,21897.6,68.69,31877.6,2025-09-15,47,pdf_text_rows,False
FUND000079,KR5118420062,집합투자증권,336.7,1.06,31877.6,2025-09-15,47,pdf_text_rows,False
FUND000079,KR5118420062,단기대출및예금,1698.9,5.33,31877.6,2025-09-15,47,pdf_text_rows,False
FUND000079,KR5118420062,기타,0.3,0.0,31877.6,2025-09-15,47,pdf_text_rows,False
FUND000039,KR5119450058,집합투자증권,112.0,95.51,117.0,2025-01-31,50,cell_grid,False
FUND000039,KR5119450058,단기대출및예금,4.0,3.73,117.0,2025-01-31,50,cell_grid,False
FUND000039,KR5119450058,기타,1.0,0.76,117.0,2025-01-31,50,cell_grid,False
FUND000040,KR5119501001,집합투자증권,24.0,97.17,25.0,2025-07-31,35,cell_grid,False
FUND000040,KR5119501001,단기대출및예금,1.0,2.83,25.0,2025-07-31,35,cell_grid,False
FUND000041,KR5119520012,집합투자증권,454.0,97.77,465.0,2025-01-31,50,cell_grid,False
FUND000041,KR5119520012,단기대출및예금,10.0,2.23,465.0,2025-01-31,50,cell_grid,False
FUND000042,KR5120420039,채권,1767339.0,85.52,2066617.0,2025-09-04,62,pdf_text_rows,False
FUND000042,KR5120420039,어음,162703.0,7.87,2066617.0,2025-09-04,62,pdf_text_rows,False
FUND000042,KR5120420039,집합투자증권,22794.0,1.1,2066617.0,2025-09-04,62,pdf_text_rows,False
FUND000042,KR5120420039,파생상품(장내),65.0,0.0,2066617.0,2025-09-04,62,pdf_text_rows,False
FUND000042,KR5120420039,단기대출및예금,113712.0,5.5,2066617.0,2025-09-04,62,pdf_text_rows,False
FUND000042,KR5120420039,기타,3.0,0.0,2066617.0,2025-09-04,62,pdf_text_rows,False
FUND000043,KR5120420091,채권,226846.0,54.45,416583.0,2024-12-20,62,pdf_text_rows,False
FUND000043,KR5120420091,어음,153258.0,36.79,416583.0,2024-12-20,62,pdf_text_rows,False
FUND000043,KR5120420091,단기대출및예금,26578.0,6.38,416583.0,2024-12-20,62,pdf_text_rows,False
FUND000043,KR5120420091,기타,9901.0,2.38,416583.0,2024-12-20,62,pdf_text_rows,False
FUND000044,KR5120450015,집합투자증권,305746.0,96.69,316227.0,2024-12-18,69,cell_grid,False
FUND000044,KR5120450015,단기대출및예금,32.0,0.01,316227.0,2024-12-18,69,cell_grid,False
FUND000044,KR5120450015,기타,10450.0,3.3,316227.0,2024-12-18,69,cell_grid,False
FUND000044,KR5120450018,집합투자증권,305746.0,96.69,316227.0,2024-12-18,69,cell_grid,False
FUND000044,KR5120450018,단기대출및예금,32.0,0.01,316227.0,2024-12-18,69,cell_grid,False
FUND000044,KR5120450018,기타,10450.0,3.3,316227.0,2024-12-18,69,cell_grid,False
FUND000045,KR5120451001,집합투자증권,18592.0,99.23,18737.0,2025-06-03,56,pdf_text_rows,False
FUND000045,KR5120451001,단기대출및예금,84.0,0.45,18737.0,2025-06-03,56,pdf_text_rows,False
FUND000045,KR5120451001,기타,61.0,0.32,18737.0,2025-06-03,56,pdf_text_rows,False
FUND000012,KR5122420005,집합투자증권,20095.0,96.54,20815.0,2025-12-03,54,cell_grid,False
FUND000012,KR5122420005,기타,719.0,3.46,20815.0,2025-12-03,54,cell_grid,False
FUND000080,KR5123365001,집합투자증권,6.3,99.82,6.3,2025-02-22,33,cell_grid,False
FUND000080,KR5123365001,단기대출및예금,0.0,0.18,6.3,2025-02-22,33,cell_grid,False
FUND000081,KR5123420015,집합투자증권,761.9,99.88,762.9,2025-02-26,43,cell_grid,False
FUND000081,KR5123420015,단기대출및예금,0.9,0.12,762.9,2025-02-26,43,cell_grid,False
FUND000082,KR5123420039,집합투자증권,416.8,96.87,430.3,2024-01-20,40,cell_grid,False
FUND000082,KR5123420039,단기대출및예금,13.5,3.13,430.3,2024-01-20,40,cell_grid,False
FUND000083,KR5123420049,채권,9382.9,38.04,24665.2,2024-12-12,42,cell_grid,False
FUND000083,KR5123420049,어음,13355.2,54.15,24665.2,2024-12-12,42,cell_grid,False
FUND000083,KR5123420049,집합투자증권,829.1,3.36,24665.2,2024-12-12,42,cell_grid,False
FUND000083,KR5123420049,파생상품(장내),0.1,0.0,24665.2,2024-12-12,42,cell_grid,False
FUND000083,KR5123420049,단기대출및예금,1098.0,4.45,24665.2,2024-12-12,42,cell_grid,False
FUND000084,KR5123490013,집합투자증권,186.7,95.67,195.2,2017-09-29,52,cell_grid,False
FUND000084,KR5123490013,단기대출및예금,8.4,4.32,195.2,2017-09-29,52,cell_grid,False
FUND000084,KR5123490013,기타,0.0,0.01,195.2,2017-09-29,52,cell_grid,False
FUND000084,KR5123490016,집합투자증권,186.7,95.67,195.2,2017-09-29,52,cell_grid,False
FUND000084,KR5123490016,단기대출및예금,8.4,4.32,195.2,2017-09-29,52,cell_grid,False
FUND000084,KR5123490016,기타,0.0,0.01,195.2,2017-09-29,52,cell_grid,False
FUND000084,KR5123490017,집합투자증권,186.7,95.67,195.2,2017-09-29,52,cell_grid,False
FUND000084,KR5123490017,단기대출및예금,8.4,4.32,195.2,2017-09-29,52,cell_grid,False
FUND000084,KR5123490017,기타,0.0,0.01,195.2,2017-09-29,52,cell_grid,False
FUND000032,KR5125450023,집합투자증권,1108509.0,99.53,1113765.0,2025-05-25,46,cell_grid,False
FUND000032,KR5125450023,단기대출및예금,418.0,0.04,1113765.0,2025-05-25,46,cell_grid,False
FUND000032,KR5125450023,기타,4838.0,0.43,1113765.0,2025-05-25,46,cell_grid,False
FUND000033,KR5125450070,집합투자증권,420717.0,99.55,422621.0,2025-04-24,44,cell_grid,False
FUND000033,KR5125450070,단기대출및예금,84.0,0.02,422621.0,2025-04-24,44,cell_grid,False
FUND000033,KR5125450070,기타,1820.0,0.43,422621.0,2025-04-24,44,cell_grid,False
FUND000021,KR5127420034,채권,1773.0,112.7,1574.0,2024-12-31,37,cell_grid,False
FUND000021,KR5127420034,단기대출및예금,77.0,4.88,1574.0,2024-12-31,37,cell_grid,False
FUND000021,KR5127420034,기타,-277.0,-17.58,1574.0,2024-12-31,37,cell_grid,False
FUND000021,KR5127420039,채권,1773.0,112.7,1574.0,2024-12-31,37,cell_grid,False
FUND000021,KR5127420039,단기대출및예금,77.0,4.88,1574.0,2024-12-31,37,cell_grid,False
FUND000021,KR5127420039,기타,-277.0,-17.58,1574.0,2024-12-31,37,cell_grid,False
FUND000022,KR5127420045,채권,884.0,106.21,833.0,2025-08-20,39,pdf_text_rows,False
FUND000022,KR5127420045,집합투자증권,101.0,12.14,833.0,2025-08-20,39,pdf_text_rows,False
FUND000022,KR5127420045,단기대출및예금,42.0,5.04,833.0,2025-08-20,39,pdf_text_rows,False
FUND000022,KR5127420045,기타,-195.0,-23.39,833.0,2025-08-20,39,pdf_text_rows,False
FUND000023,KR5127420083,채권,770.0,127.22,605.0,2025-09-07,37,pdf_text_rows,False
FUND000023,KR5127420083,단기대출및예금,42.0,6.91,605.0,2025-09-07,37,pdf_text_rows,False
FUND000023,KR5127420083,기타,-207.0,-34.13,605.0,2025-09-07,37,pdf_text_rows,False
FUND000024,KR5127450117,주식,937.0,90.55,1034.0,2025-11-04,39,pdf_text_rows,False
FUND000024,KR5127450117,집합투자증권,5.0,0.43,1034.0,2025-11-04,39,pdf_text_rows,False
FUND000024,KR5127450117,단기대출및예금,95.0,9.14,1034.0,2025-11-04,39,pdf_text_rows,False
FUND000024,KR5127450117,기타,-1.0,-0.13,1034.0,2025-11-04,39,pdf_text_rows,False
FUND000025,KR5127450215,주식,600.0,51.33,1168.0,2025-05-17,40,pdf_text_rows,False
FUND000025,KR5127450215,집합투자증권,307.0,26.24,1168.0,2025-05-17,40,pdf_text_rows,False
FUND000025,KR5127450215,단기대출및예금,257.0,22.03,1168.0,2025-05-17,40,pdf_text_rows,False
FUND000025,KR5127450215,기타,5.0,0.39,1168.0,2025-05-17,40,pdf_text_rows,False
FUND000025,KR5127450217,주식,600.0,51.33,1168.0,2025-05-17,40,pdf_text_rows,False
FUND000025,KR5127450217,집합투자증권,307.0,26.24,1168.0,2025-05-17,40,pdf_text_rows,False
FUND000025,KR5127450217,단기대출및예금,257.0,22.03,1168.0,2025-05-17,40,pdf_text_rows,False
FUND000025,KR5127450217,기타,5.0,0.39,1168.0,2025-05-17,40,pdf_text_rows,False
FUND000026,KR5127450473,주식,157.0,84.95,185.0,2025-11-05,40,pdf_text_rows,False
FUND000026,KR5127450473,단기대출및예금,37.0,19.89,185.0,2025-11-05,40,pdf_text_rows,False
FUND000026,KR5127450473,기타,-9.0,-4.84,185.0,2025-11-05,40,pdf_text_rows,False
FUND000036,KR5129420025,채권,387422.0,78.58,493040.0,2025-03-09,65,pdf_text_rows,False
FUND000036,KR5129420025,어음,71843.0,14.57,493040.0,2025-03-09,65,pdf_text_rows,False
FUND000036,KR5129420025,집합투자증권,14832.0,3.01,493040.0,2025-03-09,65,pdf_text_rows,False
FUND000036,KR5129420025,파생상품(장내),5.0,0.0,493040.0,2025-03-09,65,pdf_text_rows,False
FUND000036,KR5129420025,단기대출및예금,18940.0,3.84,493040.0,2025-03-09,65,pdf_text_rows,False
FUND000037,KR5129420031,집합투자증권,293848.0,97.41,301645.0,2025-11-06,56,cell_grid,False
FUND000037,KR5129420031,단기대출및예금,7798.0,2.59,301645.0,2025-11-06,56,cell_grid,False
FUND000004,KR5131420007,집합투자증권,112808.0,99.0,113949.0,2025-07-18,38,cell_grid,False
FUND000004,KR5131420007,단기대출및예금,1141.0,1.0,113949.0,2025-07-18,38,cell_grid,False
FUND000005,KR5131420025,채권,195273.0,71.3,273894.0,2025-12-27,35,cell_grid,False
FUND000005,KR5131420025,어음,39368.0,14.37,273894.0,2025-12-27,35,cell_grid,False
FUND000005,KR5131420025,단기대출및예금,29749.0,10.86,273894.0,2025-12-27,35,cell_grid,False
FUND000005,KR5131420025,기타,9504.0,3.47,273894.0,2025-12-27,35,cell_grid,False
FUND000010,KR5139420015,집합투자증권,155075.0,99.5,155854.0,2025-06-25,45,cell_grid,False
FUND000010,KR5139420015,단기대출및예금,79.0,0.05,155854.0,2025-06-25,45,cell_grid,False
FUND000010,KR5139420015,기타,700.0,0.45,155854.0,2025-06-25,45,cell_grid,False
FUND000011,KR5139420020,집합투자증권,79995.0,99.41,80473.0,2025-09-29,38,cell_grid,False
FUND000011,KR5139420020,단기대출및예금,78.0,0.1,80473.0,2025-09-29,38,cell_grid,False
FUND000011,KR5139420020,기타,400.0,0.5,80473.0,2025-09-29,38,cell_grid,False
FUND000027,KR5144420020,집합투자증권,4127.0,97.29,4242.0,2025-08-31,56,cell_grid,False
FUND000027,KR5144420020,단기대출및예금,24.0,0.56,4242.0,2025-08-31,56,cell_grid,False
FUND000027,KR5144420020,기타,91.0,2.15,4242.0,2025-08-31,56,cell_grid,False
FUND000028,KR5144420081,채권,1182.0,97.16,1217.0,2025-01-24,58,cell_grid,False
FUND000028,KR5144420081,집합투자증권,29.0,2.36,1217.0,2025-01-24,58,cell_grid,False
FUND000028,KR5144420081,단기대출및예금,4.0,0.33,1217.0,2025-01-24,58,cell_grid,False
FUND000028,KR5144420081,기타,2.0,0.15,1217.0,2025-01-24,58,cell_grid,False
FUND000029,KR5144420091,채권,4260.0,59.02,7218.0,2025-09-13,52,pdf_text_rows,False
FUND000029,KR5144420091,어음,2151.0,29.8,7218.0,2025-09-13,52,pdf_text_rows,False
FUND000029,KR5144420091,집합투자증권,115.0,1.59,7218.0,2025-09-13,52,pdf_text_rows,False
FUND000029,KR5144420091,단기대출및예금,32.0,0.44,7218.0,2025-09-13,52,pdf_text_rows,False
FUND000029,KR5144420091,기타,661.0,9.16,7218.0,2025-09-13,52,pdf_text_rows,False
FUND000030,KR5144450095,주식,5243.0,87.76,5975.0,2025-08-13,54,pdf_text_rows,False
FUND000030,KR5144450095,집합투자증권,12.0,0.2,5975.0,2025-08-13,54,pdf_text_rows,False
FUND000030,KR5144450095,단기대출및예금,713.0,11.94,5975.0,2025-08-13,54,pdf_text_rows,False
FUND000030,KR5144450095,기타,6.0,0.1,5975.0,2025-08-13,54,pdf_text_rows,False
FUND000031,KR5152420028,채권,10116.0,37.81,26758.0,2025-01-12,39,cell_grid,False
FUND000031,KR5152420028,어음,3931.0,14.69,26758.0,2025-01-12,39,cell_grid,False
FUND000031,KR5152420028,단기대출및예금,12011.0,44.89,26758.0,2025-01-12,39,cell_grid,False
FUND000031,KR5152420028,기타,700.0,2.62,26758.0,2025-01-12,39,cell_grid,False
FUND000007,KR515302022M,주식,5375.0,84.63,6351.0,2025-07-07,53,cell_grid,False
FUND000007,KR515302022M,집합투자증권,5.0,0.08,6351.0,2025-07-07,53,cell_grid,False
FUND000007,KR515302022M,단기대출및예금,6.0,0.09,6351.0,2025-07-07,53,cell_grid,False
FUND000007,KR515302022M,기타,965.0,15.19,6351.0,2025-07-07,53,cell_grid,False
FUND000057,KR5153420022,채권,67717.0,93.79,72197.0,2020-12-31,46,cell_grid,False
FUND000057,KR5153420022,집합투자증권,1012.0,1.4,72197.0,2020-12-31,46,cell_grid,False
FUND000057,KR5153420022,단기대출및예금,3468.0,4.8,72197.0,2020-12-31,46,cell_grid,False
FUND000058,KR5153420063,채권,4001.0,87.96,4549.0,2024-12-31,42,cell_grid,False
FUND000058,KR5153420063,어음,266.0,5.85,4549.0,2024-12-31,42,cell_grid,False
FUND000058,KR5153420063,단기대출및예금,282.0,6.19,4549.0,2024-12-31,42,cell_grid,False
FUND000059,KR5153420079,채권,859749.0,91.76,936993.0,2025-06-30,45,cell_grid,False
FUND000059,KR5153420079,집합투자증권,18787.0,2.01,936993.0,2025-06-30,45,cell_grid,False
FUND000059,KR5153420079,단기대출및예금,58457.0,6.24,936993.0,2025-06-30,45,cell_grid,False
FUND000060,KR5153420105,채권,72331.0,91.19,79317.0,2025-09-30,48,cell_grid,False
FUND000060,KR5153420105,집합투자증권,1383.0,1.74,79317.0,2025-09-30,48,cell_grid,False
FUND000060,KR5153420105,단기대출및예금,5604.0,7.07,79317.0,2025-09-30,48,cell_grid,False
FUND000061,KR5153420318,채권,8588.0,96.31,8916.0,2025-09-30,50,cell_grid,False
FUND000061,KR5153420318,집합투자증권,219.0,2.45,8916.0,2025-09-30,50,cell_grid,False
FUND000061,KR5153420318,단기대출및예금,111.0,1.24,8916.0,2025-09-30,50,cell_grid,False
FUND000063,KR5153450009,주식,10385.0,98.14,10581.0,2024-12-31,35,cell_grid,False
FUND000063,KR5153450009,단기대출및예금,104.0,0.98,10581.0,2024-12-31,35,cell_grid,False
FUND000063,KR5153450009,기타,93.0,0.88,10581.0,2024-12-31,35,cell_grid,False
FUND000064,KR5153450112,주식,120155.0,74.88,160467.0,2025-03-31,71,cell_grid,False
FUND000064,KR5153450112,집합투자증권,34612.0,21.57,160467.0,2025-03-31,71,cell_grid,False
FUND000064,KR5153450112,단기대출및예금,2046.0,1.27,160467.0,2025-03-31,71,cell_grid,False
FUND000064,KR5153450112,기타,3654.0,2.28,160467.0,2025-03-31,71,cell_grid,False
FUND000065,KR5153450209,주식,23241.0,97.46,23848.0,2025-06-30,35,cell_grid,False
FUND000065,KR5153450209,단기대출및예금,565.0,2.37,23848.0,2025-06-30,35,cell_grid,False
FUND000065,KR5153450209,기타,41.0,0.17,23848.0,2025-06-30,35,cell_grid,False
FUND000066,KR5153450250,주식,46420.0,94.79,48973.0,2025-06-30,35,cell_grid,False
FUND000066,KR5153450250,집합투자증권,1104.0,2.26,48973.0,2025-06-30,35,cell_grid,False
FUND000066,KR5153450250,단기대출및예금,1310.0,2.67,48973.0,2025-06-30,35,cell_grid,False
FUND000066,KR5153450250,기타,139.0,0.28,48973.0,2025-06-30,35,cell_grid,False
FUND000067,KR5153450268,주식,11994.0,70.62,16984.0,2025-09-30,50,cell_grid,False
FUND000067,KR5153450268,채권,2553.0,15.03,16984.0,2025-09-30,50,cell_grid,False
FUND000067,KR5153450268,집합투자증권,1004.0,5.91,16984.0,2025-09-30,50,cell_grid,False
FUND000067,KR5153450268,단기대출및예금,1433.0,8.44,16984.0,2025-09-30,50,cell_grid,False
FUND000068,KR5153450431,주식,5313.0,80.25,6620.0,2025-06-30,47,cell_grid,False
FUND000068,KR5153450431,집합투자증권,1191.0,17.98,6620.0,2025-06-30,47,cell_grid,False
FUND000068,KR5153450431,단기대출및예금,98.0,1.48,6620.0,2025-06-30,47,cell_grid,False
FUND000068,KR5153450431,기타,19.0,0.29,6620.0,2025-06-30,47,cell_grid,False
FUND000069,KR5153450658,채권,1778.0,89.93,1976.0,2025-09-30,51,cell_grid,False
FUND000069,KR5153450658,단기대출및예금,199.0,10.07,1976.0,2025-09-30,51,cell_grid,False
FUND000070,KR5153450772,주식,24225.0,96.35,25142.0,2025-03-31,50,cell_grid,False
FUND000070,KR5153450772,단기대출및예금,412.0,1.64,25142.0,2025-03-31,50,cell_grid,False
FUND000070,KR5153450772,기타,506.0,2.01,25142.0,2025-03-31,50,cell_grid,False
FUND000071,KR5153450785,주식,989435.0,95.48,1036228.0,2025-12-31,49,cell_grid,False
FUND000071,KR5153450785,단기대출및예금,26440.0,2.55,1036228.0,2025-12-31,49,cell_grid,False
FUND000071,KR5153450785,기타,20353.0,1.96,1036228.0,2025-12-31,49,cell_grid,False
FUND000072,KR5153450791,주식,5213.0,81.7,6380.0,2024-12-31,35,cell_grid,False
FUND000072,KR5153450791,집합투자증권,778.0,12.2,6380.0,2024-12-31,35,cell_grid,False
FUND000072,KR5153450791,단기대출및예금,346.0,5.43,6380.0,2024-12-31,35,cell_grid,False
FUND000072,KR5153450791,기타,43.0,0.68,6380.0,2024-12-31,35,cell_grid,False
FUND000073,KR5153451009,주식,5007.0,97.07,5153.0,2025-09-30,47,cell_grid,False
FUND000073,KR5153451009,단기대출및예금,78.0,1.5,5153.0,2025-09-30,47,cell_grid,False
FUND000073,KR5153451009,기타,73.0,1.42,5153.0,2025-09-30,47,cell_grid,False
FUND000074,KR5153520012,채권,108460.0,81.47,133126.0,2025-09-30,39,cell_grid,False
FUND000074,KR5153520012,어음,2427.0,1.82,133126.0,2025-09-30,39,cell_grid,False
FUND000074,KR5153520012,집합투자증권,2518.0,1.89,133126.0,2025-09-30,39,cell_grid,False
FUND000074,KR5153520012,단기대출및예금,19722.0,14.81,133126.0,2025-09-30,39,cell_grid,False
FUND000008,KR5156450026,집합투자증권,551892.0,96.52,571770.0,2025-12-31,45,pdf_text_rows,False
FUND000008,KR5156450026,단기대출및예금,345.0,0.06,571770.0,2025-12-31,45,pdf_text_rows,False
FUND000008,KR5156450026,기타,19533.0,3.42,571770.0,2025-12-31,45,pdf_text_rows,False
FUND000001,KR5157420003,집합투자증권,292427.0,99.14,294955.0,2025-07-29,51,cell_grid,False
FUND000001,KR5157420003,단기대출및예금,2528.0,0.86,294955.0,2025-07-29,51,cell_grid,False
FUND000002,KR5157450017,주식,467477.0,91.85,508978.0,2025-04-19,51,cell_grid,False
FUND000002,KR5157450017,단기대출및예금,25803.0,5.07,508978.0,2025-04-19,51,cell_grid,False
FUND000002,KR5157450017,기타,15697.0,3.08,508978.0,2025-04-19,51,cell_grid,False
FUND000003,KR5157450090,집합투자증권,97928.0,98.23,99695.0,2025-10-01,67,cell_grid,False
