fund_id,product_code,redemption_note
FUND000038,KR5117420097,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 않습니다
FUND000076,KR5118201004,이 투자신탁은 수익증권의 환매 시 환매수수료를 부과하지 않습니다
FUND000077,KR5118420006,이 투자신탁은 수익증권의 환매 시 환매수수료를 부과하지 않습니다
FUND000078,KR5118420036,이 투자신탁은 수익증권을 환매시 환매수수료를 부과하지 않습니다
FUND000079,KR5118420062,이 투자신탁은 수익증권의 환매 시 환매수수료를 부과하지 않습니다
FUND000039,KR5119450058,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 않습니다
FUND000040,KR5119501001,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 않습니다
FUND000041,KR5119520012,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 않습니다
FUND000042,KR5120420039,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
FUND000043,KR5120420091,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
FUND000044,KR5120450015,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
FUND000044,KR5120450018,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
FUND000045,KR5120451001,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
FUND000012,KR5122420005,환매수수료 없음
FUND000080,KR5123365001,환매수수료 해당사항 없음
FUND000081,KR5123420015,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 않습니다
FUND000082,KR5123420039,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000083,KR5123420049,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000084,KR5123490013,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000084,KR5123490016,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000084,KR5123490017,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000032,KR5125450023,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000033,KR5125450070,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000021,KR5127420034,환매수수료 해당사항 없음
FUND000021,KR5127420039,환매수수료 해당사항 없음
FUND000022,KR5127420045,환매수수료 해당사항 없음
FUND000023,KR5127420083,환매수수료 해당사항 없음
FUND000024,KR5127450117,환매수수료 해당사항 없음
FUND000025,KR5127450215,환매수수료 해당사항 없음
FUND000025,KR5127450217,환매수수료 해당사항 없음
FUND000026,KR5127450473,환매수수료 해당사항 없음
FUND000036,KR5129420025,환매수수료 해당사항 없음
FUND000037,KR5129420031,환매수수료 해당사항 없음
FUND000004,KR5131420007,환매수수료 해당사항 없음
FUND000005,KR5131420025,환매수수료 해당사항 없음
FUND000010,KR5139420015,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
FUND000011,KR5139420020,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 않습니다
FUND000027,KR5144420020,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000028,KR5144420081,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000029,KR5144420091,이 투자신탁은 환매수수료를 부과하지 아니합니다
FUND000030,KR5144450095,이 투자신탁은 환매수수료를 부과하지 아니합니다
FUND000006,KR5147430065,환매수수료 해당사항 없음
FUND000016,KR514X450008,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
FUND000031,KR5152420028,환매수수료를 부과하지 않습니다
FUND000007,KR515302022M,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
FUND000057,KR5153420022,환매수수료 해당사항 없음
FUND000058,KR5153420063,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000059,KR5153420079,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000060,KR5153420105,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000061,KR5153420318,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000062,KR5153420339,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000063,KR5153450009,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000064,KR5153450112,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000065,KR5153450209,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000066,KR5153450250,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000067,KR5153450268,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000068,KR5153450431,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000069,KR5153450658,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000070,KR5153450772,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000071,KR5153450785,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000072,KR5153450791,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000073,KR5153451009,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000074,KR5153520012,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000008,KR5156450026,"이 투자신탁은 투자기간 중 환매가 가능한 개방형 투자신탁으로, 환매에 따른 환매수수료가 발생하지 않습니다"
FUND000001,KR5157420003,"이 투자신탁은 투자기간 중 환매가 가능한 개방형 투자신탁으로, 환매에 따른 환매수수료가 발생하지 않습니다"
FUND000002,KR5157450017,"이 투자신탁은 투자기간 중 환매가 가능한 개방형 투자신탁으로, 환매에 따른 환매수수료가 발생하지 않습니다"
FUND000003,KR5157450090,"이 투자신탁은 투자기간 중 환매가 가능한 개방형 투자신탁으로, 환매에 따른 환매수수료가 발생하지 않습니다"
FUND000020,KR5160420009,환매수수료 해당사항 없음
FUND000017,KR516702010M,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
FUND000013,KR5169950018,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
FUND000014,KR5172450019,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000019,KR5174420011,환매수수료 해당사항이 없습니다
FUND000075,KR518101002M,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000092,KR518101012M,"이 투자신탁은 장기투자목적으로 수익증권의 보유기간에 따라 환매수수료를 차등부과하며, 부과된 환매수수료는 투자신탁재산으로 편입됩니다"
FUND000063,KR518102001M,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000085,KR5185450009,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000015,KR5194450018,이 투자신탁은 클래스별로 다음과 같이 보유기간(당해 집합투자증권의 매수일을 기산일로 하여 환매시 적용되는 기준가격 적용일까지)에 따라 이익금을 기준으로 환매수수료를 부과합니다
FUND000009,KR555202013M,이 집합투자기구는 환매수수료를 징구하지 않습니다
