fund_id,product_code,product_name,product_name_page,product_name_method,product_name_confidence,product_name_evidence,asset_type,asset_type_page,asset_type_method,asset_type_confidence,asset_type_evidence,risk_level,risk_level_page,risk_level_method,risk_level_confidence,risk_level_evidence
FUND000090,KR5113450401,한국투자 중소밸류 증권 자투자신탁(주식),1,name_regex,1.0,한국투자 중소밸류 증권 자투자신탁(주식),주식,1,bracket_vocab_match,1.0,한국투자 중소밸류 증권 자투자신탁(주식),3,1,risk_table_regex,1.0,다소높은위험
FUND000091,KR5113470030,한국투자 인덱스플러스 증권 투자신탁 1호(주식-파생형),1,name_regex,1.0,한국투자 인덱스플러스 증권 투자신탁 1호(주식-파생형),주식-파생형,1,bracket_vocab_match,1.0,한국투자 인덱스플러스 증권 투자신탁 1호(주식-파생형),2,1,risk_table_regex,1.0,높은위험
FUND000091,KR5113470031,한국투자 인덱스플러스 증권 투자신탁 1호(주식-파생형),1,name_regex,1.0,한국투자 인덱스플러스 증권 투자신탁 1호(주식-파생형),주식-파생형,1,bracket_vocab_match,1.0,한국투자 인덱스플러스 증권 투자신탁 1호(주식-파생형),2,1,risk_table_regex,1.0,높은위험
FUND000046,KR5114420016,삼성ABF코리아장기채권인덱스증권투자신탁[채권],1,name_regex,1.0,삼성ABF코리아장기채권인덱스증권투자신탁[채권],채권,1,bracket_vocab_match,1.0,삼성ABF코리아장기채권인덱스증권투자신탁[채권],4,1,risk_table_regex,1.0,보통위험
FUND000047,KR5114420022,삼성클래식연금증권전환형투자신탁 제1호[채권],1,name_regex,1.0,삼성클래식연금증권전환형투자신탁 제1호[채권],채권,1,bracket_vocab_match,1.0,삼성클래식연금증권전환형투자신탁 제1호[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000048,KR5114420027,삼성코리아중기채권증권자투자신탁 제1호[채권],1,name_regex,1.0,삼성코리아중기채권증권자투자신탁 제1호[채권],채권,1,bracket_vocab_match,1.0,삼성코리아중기채권증권자투자신탁 제1호[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000049,KR5114420046,삼성퇴직연금인덱스12M증권자투자신탁 제1호[채권],1,name_regex,1.0,삼성퇴직연금인덱스12M증권자투자신탁 제1호[채권],채권,1,bracket_vocab_match,1.0,삼성퇴직연금인덱스12M증권자투자신탁 제1호[채권],6,1,risk_table_regex,1.0,매우낮은위험
FUND000050,KR5114450222,삼성클래식연금증권전환형자투자신탁 제1호[주식],1,name_regex,1.0,삼성클래식연금증권전환형자투자신탁 제1호[주식],주식,1,bracket_vocab_match,1.0,삼성클래식연금증권전환형자투자신탁 제1호[주식],2,1,risk_table_regex,1.0,높은위험
FUND000051,KR5114450270,삼성퇴직연금KOSPI200증권자투자신탁 제1호[주식],1,name_regex,1.0,삼성퇴직연금KOSPI200증권자투자신탁 제1호[주식],주식,1,bracket_vocab_match,1.0,삼성퇴직연금KOSPI200증권자투자신탁 제1호[주식],2,1,risk_table_regex,1.0,높은위험
FUND000018,KR5116501001,브이아이 퇴직연금 증권 자투자신탁 1호[채권],1,name_regex_table,1.0,브이아이 퇴직연금 증권 자투자신탁 1호[채권],채권,1,bracket_vocab_match,1.0,브이아이 퇴직연금 증권 자투자신탁 1호[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000038,KR5117420097,신한초단기채증권투자신탁[채권],1,name_regex,1.0,신한초단기채증권투자신탁[채권],채권,1,bracket_vocab_match,1.0,신한초단기채증권투자신탁[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000076,KR5118201004,우리하이플러스채권증권자투자신탁1호(채권),1,name_regex,1.0,우리하이플러스채권증권자투자신탁1호(채권),채권,1,bracket_vocab_match,1.0,우리하이플러스채권증권자투자신탁1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000077,KR5118420006,우리나라초단기채권증권투자신탁[채권],1,name_regex,1.0,우리나라초단기채권증권투자신탁[채권],채권,1,bracket_vocab_match,1.0,우리나라초단기채권증권투자신탁[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000078,KR5118420036,우리나라중단기ESG채권증권자투자신탁1호(채권),1,name_regex,1.0,우리나라중단기ESG채권증권자투자신탁1호(채권),채권,1,bracket_vocab_match,1.0,우리나라중단기ESG채권증권자투자신탁1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000079,KR5118420062,우리단기채권증권투자신탁(채권),1,name_regex,1.0,우리단기채권증권투자신탁(채권),채권,1,bracket_vocab_match,1.0,우리단기채권증권투자신탁(채권),6,1,risk_table_regex,1.0,매우낮은위험
FUND000039,KR5119450058,신한코리아롱숏증권자투자신탁[주식],1,name_regex,1.0,신한코리아롱숏증권자투자신탁[주식],주식,1,bracket_vocab_match,1.0,신한코리아롱숏증권자투자신탁[주식],3,1,risk_table_regex,1.0,다소높은위험
FUND000040,KR5119501001,신한퇴직연금국공채증권자투자신탁[채권],1,name_regex,1.0,신한퇴직연금국공채증권자투자신탁[채권],채권,1,bracket_vocab_match,1.0,신한퇴직연금국공채증권자투자신탁[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000041,KR5119520012,신한상대가치장기증권자투자신탁[채권],1,name_regex,1.0,신한상대가치장기증권자투자신탁[채권],채권,1,bracket_vocab_match,1.0,신한상대가치장기증권자투자신탁[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000042,KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),1,name_regex,1.0,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),채권,1,bracket_vocab_match,1.0,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000043,KR5120420091,교보악사 내일환매 초단기우량채증권투자신탁[채권],1,name_regex,1.0,교보악사 내일환매 초단기우량채증권투자신탁[채권],채권,1,bracket_vocab_match,1.0,교보악사 내일환매 초단기우량채증권투자신탁[채권],6,1,risk_table_regex,1.0,매우낮은위험
FUND000044,KR5120450015,교보악사 파워인덱스 증권 자투자신탁 1호 (주식),1,name_regex,1.0,교보악사 파워인덱스 증권 자투자신탁 1호 (주식),주식,1,bracket_vocab_match,1.0,교보악사 파워인덱스 증권 자투자신탁 1호 (주식),2,1,risk_table_regex,1.0,높은위험
FUND000044,KR5120450018,교보악사 파워인덱스 증권 자투자신탁 1호 (주식),1,name_regex,1.0,교보악사 파워인덱스 증권 자투자신탁 1호 (주식),주식,1,bracket_vocab_match,1.0,교보악사 파워인덱스 증권 자투자신탁 1호 (주식),2,1,risk_table_regex,1.0,높은위험
FUND000045,KR5120451001,교보악사 파워인덱스증권자투자신탁 2호[주식],1,name_regex,1.0,교보악사 파워인덱스증권자투자신탁 2호[주식],주식,1,bracket_vocab_match,1.0,교보악사 파워인덱스증권자투자신탁 2호[주식],2,1,risk_table_regex,1.0,높은위험
FUND000012,KR5122420005,유진챔피언단기채증권자투자신탁(채권),1,name_regex,1.0,유진챔피언단기채증권자투자신탁(채권),채권,1,bracket_vocab_match,1.0,유진챔피언단기채증권자투자신탁(채권),6,1,risk_table_regex,1.0,매우낮은위험
FUND000080,KR5123365001,키움 연금 증권 자투자신탁 제C1호[국공채],1,name_regex,1.0,키움 연금 증권 자투자신탁 제C1호[국공채],국공채,1,bracket_vocab_match,1.0,키움 연금 증권 자투자신탁 제C1호[국공채],5,1,risk_table_regex,1.0,낮은위험
FUND000081,KR5123420015,키움 단기 국공채 증권 자투자신탁 제1호[채권],1,name_regex,1.0,키움 단기 국공채 증권 자투자신탁 제1호[채권],채권,1,bracket_vocab_match,1.0,키움 단기 국공채 증권 자투자신탁 제1호[채권],6,1,risk_table_regex,1.0,매우낮은위험
FUND000082,KR5123420039,키움파이어니어ESG증권자투자신탁제1호[채권],1,name_regex,1.0,키움파이어니어ESG증권자투자신탁제1호[채권],채권,1,bracket_vocab_match,1.0,키움파이어니어ESG증권자투자신탁제1호[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000083,KR5123420049,키움더드림단기채증권투자신탁[채권],1,name_regex,1.0,키움더드림단기채증권투자신탁[채권],채권,1,bracket_vocab_match,1.0,키움더드림단기채증권투자신탁[채권],6,1,risk_table_regex,1.0,매우낮은위험
FUND000084,KR5123490013,키움 Smart Investor 분할매수 증권 자투자신탁 제1호 [주식혼합-재간접형],1,name_regex,1.0,키움 Smart Investor 분할매수 증권 자투자신탁 제1호 [주식혼합-재간접형],주식혼합-재간접형,1,bracket_vocab_match,1.0,키움 Smart Investor 분할매수 증권 자투자신탁 제1호 [주식혼합-재간접형],2,1,risk_table_regex,1.0,높은위험
FUND000084,KR5123490016,키움 Smart Investor 분할매수 증권 자투자신탁 제1호 [주식혼합-재간접형],1,name_regex,1.0,키움 Smart Investor 분할매수 증권 자투자신탁 제1호 [주식혼합-재간접형],주식혼합-재간접형,1,bracket_vocab_match,1.0,키움 Smart Investor 분할매수 증권 자투자신탁 제1호 [주식혼합-재간접형],2,1,risk_table_regex,1.0,높은위험
FUND000084,KR5123490017,키움 Smart Investor 분할매수 증권 자투자신탁 제1호 [주식혼합-재간접형],1,name_regex,1.0,키움 Smart Investor 분할매수 증권 자투자신탁 제1호 [주식혼합-재간접형],주식혼합-재간접형,1,bracket_vocab_match,1.0,키움 Smart Investor 분할매수 증권 자투자신탁 제1호 [주식혼합-재간접형],2,1,risk_table_regex,1.0,높은위험
FUND000032,KR5125450023,신영밸류고배당증권자투자신탁(주식),1,name_regex,1.0,신영밸류고배당증권자투자신탁(주식),주식,1,bracket_vocab_match,1.0,신영밸류고배당증권자투자신탁(주식),2,1,risk_table_regex,1.0,높은위험
FUND000033,KR5125450070,신영마라톤증권자투자신탁(주식),1,name_regex,1.0,신영마라톤증권자투자신탁(주식),주식,1,bracket_vocab_match,1.0,신영마라톤증권자투자신탁(주식),2,1,risk_table_regex,1.0,높은위험
FUND000021,KR5127420034,KB스타 중기 국공채 증권 자투자신탁(채권)(41371),1,name_regex,1.0,KB스타 중기 국공채 증권 자투자신탁(채권)(41371),채권,1,bracket_vocab_match,1.0,KB스타 중기 국공채 증권 자투자신탁(채권)(41371),5,1,risk_table_regex,1.0,낮은위험
FUND000021,KR5127420039,KB스타 중기 국공채 증권 자투자신탁(채권)(41371),1,name_regex,1.0,KB스타 중기 국공채 증권 자투자신탁(채권)(41371),채권,1,bracket_vocab_match,1.0,KB스타 중기 국공채 증권 자투자신탁(채권)(41371),5,1,risk_table_regex,1.0,낮은위험
FUND000022,KR5127420045,KB스타 단기 국공채 증권 자투자신탁(채권)(B5517),1,name_regex,1.0,KB스타 단기 국공채 증권 자투자신탁(채권)(B5517),채권,1,bracket_vocab_match,1.0,KB스타 단기 국공채 증권 자투자신탁(채권)(B5517),6,1,risk_table_regex,1.0,매우낮은위험
FUND000023,KR5127420083,KB 장기국채 플러스 증권 자투자신탁(채권)(BG607),1,name_regex,1.0,KB 장기국채 플러스 증권 자투자신탁(채권)(BG607),채권,1,bracket_vocab_match,1.0,KB 장기국채 플러스 증권 자투자신탁(채권)(BG607),4,1,risk_table_regex,1.0,보통위험
FUND000024,KR5127450117,KB 그로스 포커스 증권 자투자신탁(주식)(35432),1,name_regex,1.0,KB 그로스 포커스 증권 자투자신탁(주식)(35432),주식,1,bracket_vocab_match,1.0,KB 그로스 포커스 증권 자투자신탁(주식)(35432),2,1,risk_table_regex,1.0,높은위험
FUND000025,KR5127450215,KB스타 코스닥150 인덱스 증권 자투자신탁(주식-파생형)(BD844),1,name_regex,1.0,KB스타 코스닥150 인덱스 증권 자투자신탁(주식-파생형)(BD844),주식-파생형,1,bracket_vocab_match,1.0,KB스타 코스닥150 인덱스 증권 자투자신탁(주식-파생형)(BD844),1,1,risk_table_regex,1.0,매우높은위험
FUND000025,KR5127450217,KB스타 코스닥150 인덱스 증권 자투자신탁(주식-파생형)(BD844),1,name_regex,1.0,KB스타 코스닥150 인덱스 증권 자투자신탁(주식-파생형)(BD844),주식-파생형,1,bracket_vocab_match,1.0,KB스타 코스닥150 인덱스 증권 자투자신탁(주식-파생형)(BD844),1,1,risk_table_regex,1.0,매우높은위험
FUND000026,KR5127450473,KB 코리아 밸류업 액티브 증권 자투자신탁(주식)(EG176),1,name_regex,1.0,KB 코리아 밸류업 액티브 증권 자투자신탁(주식)(EG176),주식,1,bracket_vocab_match,1.0,KB 코리아 밸류업 액티브 증권 자투자신탁(주식)(EG176),2,1,risk_table_regex,1.0,높은위험
FUND000036,KR5129420025,한화내일받는단기국공채증권 자투자신탁(채권),1,name_regex,1.0,한화내일받는단기국공채증권 자투자신탁(채권),채권,1,bracket_vocab_match,1.0,한화내일받는단기국공채증권 자투자신탁(채권),6,1,risk_table_regex,1.0,매우낮은위험
FUND000037,KR5129420031,한화코리아밸류채권증권 자투자신탁(채권),1,name_regex,1.0,한화코리아밸류채권증권 자투자신탁(채권),채권,1,bracket_vocab_match,1.0,한화코리아밸류채권증권 자투자신탁(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000004,KR5131420007,DB정통크레딧증권자투자신탁[채권],1,name_regex,1.0,DB정통크레딧증권자투자신탁[채권],채권,1,bracket_vocab_match,1.0,DB정통크레딧증권자투자신탁[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000005,KR5131420025,DB다같이장기채권증권투자신탁[채권],1,name_regex,1.0,DB다같이장기채권증권투자신탁[채권],채권,1,bracket_vocab_match,1.0,DB다같이장기채권증권투자신탁[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000010,KR5139420015,흥국멀티크레딧증권자투자신탁[채권],1,name_regex,1.0,흥국멀티크레딧증권자투자신탁[채권],채권,1,bracket_vocab_match,1.0,흥국멀티크레딧증권자투자신탁[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000011,KR5139420020,흥국퇴직연금멀티크레딧증권자투자신탁[채권],1,name_regex,1.0,흥국퇴직연금멀티크레딧증권자투자신탁[채권],채권,1,bracket_vocab_match,1.0,흥국퇴직연금멀티크레딧증권자투자신탁[채권],5,1,risk_table_regex,1.0,낮은위험
FUND000027,KR5144420020,NH-Amundi 국채10년 인덱스 증권자투자신탁[채권],1,name_regex,1.0,NH-Amundi 국채10년 인덱스 증권자투자신탁[채권],채권,1,bracket_vocab_match,1.0,NH-Amundi 국채10년 인덱스 증권자투자신탁[채권],4,1,risk_table_regex,1.0,보통위험
FUND000028,KR5144420081,NH-Amundi USD 초단기채권 증권자투자신탁(UH)[채권],1,name_regex,1.0,NH-Amundi USD 초단기채권 증권자투자신탁(UH)[채권],채권,1,bracket_vocab_match,1.0,NH-Amundi USD 초단기채권 증권자투자신탁(UH)[채권],4,1,risk_table_regex,1.0,보통위험
FUND000029,KR5144420091,NH-Amundi 하나로 단기채 증권투자신탁[채권],1,name_regex,1.0,NH-Amundi 하나로 단기채 증권투자신탁[채권],채권,1,bracket_vocab_match,1.0,NH-Amundi 하나로 단기채 증권투자신탁[채권],6,1,risk_table_regex,1.0,매우낮은위험
FUND000030,KR5144450095,NH-Amundi 필승 코리아 증권투자신탁 [주식],1,name_regex,1.0,NH-Amundi 필승 코리아 증권투자신탁 [주식],주식,1,bracket_vocab_match,1.0,NH-Amundi 필승 코리아 증권투자신탁 [주식],2,1,risk_table_regex,1.0,높은위험
FUND000006,KR5147430065,KCGI코리아목표전환형증권투자신탁4호[채권혼합],1,name_regex +review_flag,1.0,KCGI코리아목표전환형증권투자신탁4호[채권혼합](운용전환일 이후) KCGI코리아목표전환형증권투자신탁4호[채권],채권혼합,1,bracket_vocab_match,1.0,KCGI코리아목표전환형증권투자신탁4호[채권혼합],4,1,risk_table_regex,1.0,보통위험
FUND000016,KR514X450008,VIP한국형가치투자증권자투자신탁[주식],1,name_regex,1.0,VIP한국형가치투자증권자투자신탁[주식],주식,1,bracket_vocab_match,1.0,VIP한국형가치투자증권자투자신탁[주식],2,1,risk_table_regex,1.0,높은위험
FUND000031,KR5152420028,다올전단채증권투자신탁[채권],1,name_regex,1.0,다올전단채증권투자신탁[채권],채권,1,bracket_vocab_match,1.0,다올전단채증권투자신탁[채권],6,1,risk_table_regex,1.0,매우낮은위험
FUND000007,KR515302022M,KCGI코리아증권투자신탁1호[주식],1,name_regex,1.0,KCGI코리아증권투자신탁1호[주식],주식,1,bracket_vocab_match,1.0,KCGI코리아증권투자신탁1호[주식],2,1,risk_table_regex,1.0,높은위험
FUND000057,KR5153420022,미래에셋라이프사이클7090연금증권전환형자투자신탁1호(채권),1,name_regex,1.0,미래에셋라이프사이클7090연금증권전환형자투자신탁1호(채권),채권,1,bracket_vocab_match,1.0,미래에셋라이프사이클7090연금증권전환형자투자신탁1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000058,KR5153420063,미래에셋솔로몬단기국공채증권자투자신탁1호(채권),1,name_regex,1.0,미래에셋솔로몬단기국공채증권자투자신탁1호(채권),채권,1,bracket_vocab_match,1.0,미래에셋솔로몬단기국공채증권자투자신탁1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000059,KR5153420079,미래에셋솔로몬중장기국공채증권자투자신탁1호(채권),1,name_regex,1.0,미래에셋솔로몬중장기국공채증권자투자신탁1호(채권),채권,1,bracket_vocab_match,1.0,미래에셋솔로몬중장기국공채증권자투자신탁1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000060,KR5153420105,미래에셋솔로몬장기국공채증권자투자신탁1호(채권),1,name_regex,1.0,미래에셋솔로몬장기국공채증권자투자신탁1호(채권),채권,1,bracket_vocab_match,1.0,미래에셋솔로몬장기국공채증권자투자신탁1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000061,KR5153420318,미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권),1,name_regex,1.0,미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권),채권,1,bracket_vocab_match,1.0,미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권),4,1,risk_table_regex,1.0,보통위험
FUND000062,KR5153420339,미래에셋프리미엄크레딧초단기증권투자신탁(채권),1,name_regex,1.0,미래에셋프리미엄크레딧초단기증권투자신탁(채권),채권,1,bracket_vocab_match,1.0,미래에셋프리미엄크레딧초단기증권투자신탁(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000063,KR5153450009,미래에셋퇴직플랜증권자투자신탁1호(주식),1,name_regex,1.0,미래에셋퇴직플랜증권자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋퇴직플랜증권자투자신탁1호(주식),2,1,risk_table_regex,1.0,높은위험
FUND000064,KR5153450112,미래에셋라이프사이클2030연금증권전환형자투자신탁1호(주식),1,name_regex,1.0,미래에셋라이프사이클2030연금증권전환형자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋라이프사이클2030연금증권전환형자투자신탁1호(주식),2,1,risk_table_regex,1.0,높은위험
FUND000065,KR5153450209,미래에셋퇴직연금코어밸류증권자투자신탁1호(주식),1,name_regex,1.0,미래에셋퇴직연금코어밸류증권자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋퇴직연금코어밸류증권자투자신탁1호(주식),2,1,risk_table_regex,1.0,높은위험
FUND000066,KR5153450250,미래에셋퇴직연금고배당포커스증권자투자신탁1호(주식),1,name_regex,1.0,미래에셋퇴직연금고배당포커스증권자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋퇴직연금고배당포커스증권자투자신탁1호(주식),3,1,risk_table_regex,1.0,다소높은위험
FUND000067,KR5153450268,미래에셋스마트롱숏70증권자투자신탁1호(주식),1,name_regex,1.0,미래에셋스마트롱숏70증권자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋스마트롱숏70증권자투자신탁1호(주식),4,1,risk_table_regex,1.0,보통위험
FUND000068,KR5153450431,미래에셋인덱스플러스연금증권전환형자투자신탁1호(주식),1,name_regex,1.0,미래에셋인덱스플러스연금증권전환형자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋인덱스플러스연금증권전환형자투자신탁1호(주식),2,1,risk_table_regex,1.0,높은위험
FUND000069,KR5153450658,미래에셋솔로몬초단기국공채증권자투자신탁2호(채권),1,name_regex,1.0,미래에셋솔로몬초단기국공채증권자투자신탁2호(채권),채권,1,bracket_vocab_match,1.0,미래에셋솔로몬초단기국공채증권자투자신탁2호(채권),6,1,risk_table_regex,1.0,매우낮은위험
FUND000070,KR5153450772,미래에셋그린뉴딜인덱스증권자투자신탁(주식),1,name_regex,1.0,미래에셋그린뉴딜인덱스증권자투자신탁(주식),주식,1,bracket_vocab_match,1.0,미래에셋그린뉴딜인덱스증권자투자신탁(주식),1,1,risk_table_regex,1.0,매우높은위험
FUND000071,KR5153450785,미래에셋코어테크증권자투자신탁(주식),1,name_regex,1.0,미래에셋코어테크증권자투자신탁(주식),주식,1,bracket_vocab_match,1.0,미래에셋코어테크증권자투자신탁(주식),1,1,risk_table_regex,1.0,매우높은위험
FUND000072,KR5153450791,미래에셋퇴직플랜KRX100인덱스증권자투자신탁1호(주식),1,name_regex,1.0,미래에셋퇴직플랜KRX100인덱스증권자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋퇴직플랜KRX100인덱스증권자투자신탁1호(주식),2,1,risk_table_regex,1.0,높은위험
FUND000073,KR5153451009,미래에셋연금아시아퍼시픽소비성장증권자투자신탁1호(주식),1,name_regex,1.0,미래에셋연금아시아퍼시픽소비성장증권자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋연금아시아퍼시픽소비성장증권자투자신탁1호(주식),3,1,risk_table_regex,1.0,다소높은위험
FUND000074,KR5153520012,미래에셋퇴직플랜증권자투자신탁1호(채권),1,name_regex,1.0,미래에셋퇴직플랜증권자투자신탁1호(채권),채권,1,bracket_vocab_match,1.0,미래에셋퇴직플랜증권자투자신탁1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000008,KR5156450026,베어링 고배당 증권자투자신탁(주식),1,name_regex,1.0,베어링 고배당 증권자투자신탁(주식),주식,1,bracket_vocab_match,1.0,베어링 고배당 증권자투자신탁(주식),3,1,risk_table_regex,1.0,다소높은위험
FUND000001,KR5157420003,마이다스 우량채권 증권 자투자신탁 제1호(채권),1,name_regex,1.0,마이다스 우량채권 증권 자투자신탁 제1호(채권),채권,1,bracket_vocab_match,1.0,마이다스 우량채권 증권 자투자신탁 제1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000002,KR5157450017,마이다스 책임투자 증권 투자신탁(주식),1,name_regex,1.0,마이다스 책임투자 증권 투자신탁(주식),주식,1,bracket_vocab_match,1.0,마이다스 책임투자 증권 투자신탁(주식),2,1,risk_table_regex,1.0,높은위험
FUND000003,KR5157450090,마이다스 거북이 90 증권 자투자신탁 1호(주식),1,name_regex,1.0,마이다스 거북이 90 증권 자투자신탁 1호(주식),주식,1,bracket_vocab_match,1.0,마이다스 거북이 90 증권 자투자신탁 1호(주식),4,1,risk_table_regex,1.0,보통위험
FUND000020,KR5160420009,코레이트셀렉트단기채증권투자신탁[채권],1,name_regex,1.0,코레이트셀렉트단기채증권투자신탁[채권],채권,1,bracket_vocab_match,1.0,코레이트셀렉트단기채증권투자신탁[채권],6,1,risk_table_regex,1.0,매우낮은위험
FUND000017,KR516702010M,에셋플러스 코리아 리치투게더 연금 증권 자투자신탁 1호(주식),1,name_regex,1.0,에셋플러스 코리아 리치투게더 연금 증권 자투자신탁 1호(주식),주식,1,bracket_vocab_match,1.0,에셋플러스 코리아 리치투게더 연금 증권 자투자신탁 1호(주식),2,1,risk_table_regex,1.0,높은위험
FUND000013,KR5169950018,디에스Maestro증권자투자신탁[주식],1,name_regex,1.0,디에스Maestro증권자투자신탁[주식],주식,1,bracket_vocab_match,1.0,디에스Maestro증권자투자신탁[주식],2,1,risk_table_regex,1.0,높은위험
